Age,Attrition,Department,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,DistanceFromHome,Education,OverTime,NumCompaniesWorked,JobRole
23,No,R&D,9771,4,3,1,21,1,Yes,3,Sales Executive
45,No,Sales,16009,3,3,38,17,3,No,1,Manager
41,Yes,Sales,18102,3,1,8,11,2,No,6,HR Executive
36,No,HR,12414,2,4,11,13,4,No,3,Engineer
31,Yes,Sales,3976,4,3,1,5,2,Yes,5,Sales Executive
52,No,Sales,2511,1,1,3,11,1,Yes,3,Manager
56,No,R&D,2688,2,4,35,19,2,Yes,9,HR Executive
56,Yes,R&D,7906,3,1,7,4,2,No,4,Sales Executive
37,No,Sales,19505,1,2,27,29,1,Yes,8,Manager
56,No,Sales,8549,4,4,30,17,4,Yes,4,Technician
57,No,HR,15966,4,1,29,18,2,No,6,HR Executive
31,No,R&D,14957,2,1,29,9,2,No,7,HR Executive
47,No,Sales,4037,4,3,7,28,3,Yes,1,Engineer
54,No,HR,6765,2,2,34,8,4,Yes,2,Sales Executive
53,No,HR,15098,2,2,36,11,2,Yes,4,HR Executive
25,No,HR,19112,1,2,15,19,4,No,8,HR Executive
39,No,R&D,18833,3,3,23,23,1,No,1,Manager
35,Yes,R&D,4327,3,2,15,29,3,Yes,7,HR Executive
43,Yes,R&D,14127,2,2,23,4,4,Yes,7,HR Executive
59,No,Sales,15839,3,1,37,24,3,Yes,1,Manager
53,No,Sales,16500,2,2,4,7,3,No,5,Sales Executive
26,No,R&D,19353,3,2,26,21,4,No,8,Technician
57,No,HR,13997,2,2,28,22,1,Yes,2,Technician
55,No,R&D,16273,1,4,27,7,1,Yes,2,Technician
58,No,HR,13725,1,2,1,9,4,No,4,Sales Executive
20,No,Sales,9670,3,4,29,13,3,Yes,2,Technician
37,No,R&D,9272,3,3,38,4,1,Yes,9,Sales Executive
52,No,HR,19284,4,1,34,23,3,Yes,6,Manager
21,Yes,HR,14741,2,2,2,7,1,No,7,Technician
18,No,HR,2268,3,1,26,22,1,Yes,2,Manager
19,No,R&D,19513,1,3,19,13,2,Yes,6,Manager
23,No,HR,15211,1,3,33,6,4,Yes,8,Technician
50,No,HR,9707,1,1,7,26,3,Yes,8,Technician
25,Yes,R&D,3210,3,3,13,24,3,Yes,5,HR Executive
42,No,Sales,11204,2,1,39,27,2,No,7,Sales Executive
37,No,R&D,9187,4,2,13,4,4,No,9,Engineer
35,Yes,HR,8294,3,2,1,2,1,Yes,1,HR Executive
39,No,Sales,4551,2,2,38,6,2,No,2,Manager
24,No,Sales,13890,4,3,10,17,4,Yes,4,Technician
29,No,HR,11144,1,3,39,25,1,Yes,3,Technician
50,No,Sales,7586,2,1,22,8,4,Yes,8,HR Executive
45,No,Sales,8088,3,3,20,29,1,No,8,HR Executive
30,No,Sales,12806,4,4,12,24,2,Yes,9,Engineer
40,No,HR,3210,3,4,12,24,1,No,4,HR Executive
21,No,HR,15081,2,4,6,13,4,Yes,3,Sales Executive
50,No,R&D,7101,2,1,22,10,4,No,4,Technician
56,No,Sales,6015,2,2,34,24,2,Yes,3,Sales Executive
49,No,HR,17187,3,1,7,18,2,No,4,Technician
43,Yes,R&D,17280,3,4,0,8,2,No,5,Engineer
41,No,R&D,7769,3,1,38,23,2,Yes,1,Manager
59,No,R&D,7498,2,3,39,12,4,No,6,HR Executive
38,No,HR,19768,1,3,29,11,4,No,0,HR Executive
52,No,R&D,12064,3,3,39,16,2,Yes,0,Technician
19,Yes,Sales,8497,3,1,24,10,2,Yes,2,Sales Executive
45,No,R&D,2263,1,1,36,20,1,No,5,Engineer
31,No,R&D,17063,4,3,36,27,1,Yes,6,Engineer
42,No,Sales,15216,3,4,9,3,4,Yes,1,Sales Executive
24,No,R&D,16805,3,4,24,8,1,No,0,Technician
40,No,R&D,7808,3,4,5,24,2,No,1,Technician
48,No,Sales,9694,1,2,5,21,4,Yes,7,Manager
37,No,HR,9316,4,1,5,17,2,No,9,Technician
29,No,HR,4003,4,2,38,8,3,No,6,HR Executive
41,No,Sales,6548,4,4,7,11,3,No,3,Technician
39,Yes,HR,8538,3,3,24,22,4,No,9,Engineer
37,No,Sales,14581,3,1,24,24,4,Yes,7,HR Executive
24,Yes,HR,9405,2,1,19,27,1,Yes,3,Manager
38,No,HR,7775,1,3,35,4,4,No,3,Sales Executive
41,No,R&D,19363,3,2,4,3,3,Yes,3,Engineer
40,No,HR,8469,4,4,3,29,1,No,9,Engineer
31,No,Sales,2707,2,1,22,4,4,Yes,3,Engineer
28,Yes,HR,19400,2,1,30,28,1,Yes,7,Manager
18,No,Sales,7935,2,3,33,3,3,Yes,8,Manager
58,No,R&D,3573,2,3,0,23,1,No,6,Technician
54,No,Sales,14496,4,2,12,6,2,Yes,9,HR Executive
21,No,Sales,8018,1,2,37,26,3,No,3,Technician
28,No,Sales,7270,4,1,12,19,3,No,4,Manager
49,No,Sales,15600,3,3,13,23,1,Yes,3,Manager
49,No,Sales,3424,3,1,36,21,3,No,6,Engineer
49,No,HR,13466,1,1,37,18,1,Yes,7,Sales Executive
36,No,R&D,10244,2,3,23,13,1,Yes,5,HR Executive
30,Yes,R&D,18902,1,1,38,20,3,Yes,6,Engineer
59,No,HR,2850,4,2,32,23,3,Yes,0,Technician
39,No,R&D,13713,4,4,9,7,2,No,4,Sales Executive
21,Yes,R&D,16915,2,4,23,9,3,No,2,Sales Executive
43,No,Sales,5965,2,2,12,4,4,No,4,Engineer
50,No,Sales,6615,2,4,34,17,3,Yes,6,Sales Executive
44,No,R&D,3878,2,4,28,17,3,Yes,4,HR Executive
24,No,HR,3421,1,2,9,10,4,Yes,5,HR Executive
53,No,Sales,2536,4,1,31,21,4,No,8,Manager
41,No,HR,15238,1,1,23,27,2,No,3,Technician
23,No,Sales,19370,2,4,9,5,4,Yes,3,Manager
59,No,R&D,6008,3,4,36,18,1,No,8,Technician
33,No,Sales,2807,2,2,36,27,2,No,1,Sales Executive
34,No,HR,4282,2,4,11,16,4,No,0,Sales Executive
57,Yes,R&D,4858,2,3,28,14,4,Yes,5,Manager
39,Yes,Sales,5551,2,3,23,19,1,No,1,HR Executive
47,No,Sales,6286,4,2,11,16,2,No,5,Sales Executive
22,Yes,HR,15929,4,2,34,3,4,Yes,1,Manager
57,No,HR,5470,4,1,6,21,4,No,6,HR Executive
40,No,Sales,9754,2,4,14,19,3,Yes,9,Manager
52,No,Sales,4023,3,2,21,12,3,Yes,0,HR Executive
37,No,Sales,16515,3,2,4,15,4,No,0,Technician
32,No,HR,13592,2,4,13,22,1,No,7,Technician
53,Yes,HR,9898,2,3,15,2,4,Yes,5,Sales Executive
57,No,HR,12516,2,4,24,25,4,No,0,HR Executive
42,No,R&D,5430,3,2,0,23,2,No,0,Manager
36,No,HR,16860,4,2,16,5,3,No,0,Engineer
56,No,Sales,17866,2,3,5,5,2,No,2,HR Executive
30,No,Sales,19126,1,3,10,21,2,No,6,Engineer
31,No,HR,3729,1,2,29,8,4,No,8,HR Executive
53,No,Sales,2383,2,1,11,22,2,No,8,Engineer
53,No,HR,18430,3,4,9,12,2,Yes,1,Manager
57,No,Sales,18477,4,4,20,26,3,No,7,HR Executive
40,Yes,R&D,10933,1,4,23,6,2,No,7,Sales Executive
28,Yes,HR,5282,4,3,27,29,1,No,2,Manager
23,No,R&D,10213,4,3,8,15,3,No,7,Technician
42,No,HR,19871,2,1,11,27,1,No,0,Technician
56,No,R&D,7917,1,3,25,18,2,Yes,4,Sales Executive
26,No,HR,6203,3,2,3,8,4,Yes,9,Technician
51,Yes,HR,9004,1,1,13,28,1,No,3,Sales Executive
42,No,HR,11971,1,2,21,3,4,No,8,Technician
39,No,HR,2595,2,2,28,17,2,No,0,HR Executive
58,No,HR,11589,2,3,11,13,3,Yes,7,HR Executive
44,No,HR,18785,1,1,31,2,4,Yes,6,Technician
19,Yes,Sales,7821,1,4,38,24,2,No,8,Technician
28,No,HR,2582,2,2,5,9,3,No,6,Engineer
30,No,HR,5352,1,1,20,29,2,No,0,Sales Executive
52,No,R&D,19541,3,1,25,1,1,No,1,Technician
20,Yes,Sales,13450,3,4,31,29,2,Yes,1,Technician
34,Yes,Sales,6569,2,1,7,24,1,Yes,1,Technician
30,No,R&D,13200,4,3,7,13,1,No,1,HR Executive
42,No,Sales,18456,3,2,3,11,3,Yes,6,HR Executive
31,No,HR,9791,2,4,0,8,3,No,7,Technician
38,No,Sales,17277,2,2,39,14,2,Yes,0,Technician
41,No,Sales,7713,4,4,17,9,3,Yes,4,Engineer
37,Yes,R&D,10293,4,4,0,17,1,No,4,Sales Executive
26,No,R&D,9806,2,1,2,7,3,No,9,Sales Executive
41,Yes,Sales,4932,3,1,19,9,1,No,4,Engineer
18,No,Sales,10420,4,2,24,14,1,Yes,8,Sales Executive
34,No,Sales,18480,3,4,20,17,3,No,6,Manager
32,No,Sales,10861,1,3,39,27,2,Yes,3,Engineer
45,No,Sales,9796,2,2,39,24,3,No,1,HR Executive
36,No,Sales,10592,1,2,37,12,3,No,5,Technician
37,No,HR,4795,2,1,9,10,3,No,2,Engineer
51,No,R&D,16013,4,1,24,27,3,No,2,Manager
57,No,Sales,14737,2,4,18,1,1,No,2,Sales Executive
31,No,R&D,11082,1,4,0,10,3,No,0,Technician
56,No,R&D,3841,3,2,10,1,1,Yes,7,Technician
32,No,HR,15584,1,3,9,22,2,Yes,8,HR Executive
40,No,Sales,3546,3,1,20,12,3,No,7,Manager
42,Yes,HR,17382,4,3,26,1,4,No,5,Technician
19,No,R&D,17193,4,4,19,7,1,Yes,2,Technician
43,Yes,Sales,15138,4,4,6,21,1,Yes,2,HR Executive
56,No,Sales,2558,3,2,10,27,2,No,1,Manager
39,Yes,Sales,9795,1,1,3,26,2,No,3,Manager
57,Yes,HR,10307,3,2,36,22,2,No,6,Technician
27,Yes,HR,18747,2,3,33,29,4,No,4,Technician
57,No,HR,17337,2,3,3,27,4,No,9,Engineer
23,No,HR,15489,1,4,16,3,4,No,3,Technician
44,No,R&D,6346,3,2,16,5,3,No,5,Engineer
30,No,HR,15443,3,4,1,23,2,Yes,3,Technician
27,No,R&D,18749,2,1,38,18,3,No,5,Manager
51,No,R&D,16314,3,4,32,18,4,No,4,Technician
58,No,Sales,3921,3,2,8,9,3,No,8,Technician
35,No,HR,13471,1,4,13,5,1,No,7,Sales Executive
34,No,Sales,11080,2,4,6,15,4,Yes,0,HR Executive
20,Yes,HR,8945,3,4,12,19,4,No,4,Manager
38,Yes,R&D,10074,1,2,17,6,2,Yes,1,Technician
40,Yes,Sales,16875,3,4,37,28,3,No,2,Technician
45,No,HR,9386,1,2,23,1,4,Yes,5,HR Executive
51,No,Sales,19155,4,2,37,14,2,No,1,Manager
43,Yes,R&D,6610,1,4,32,14,4,Yes,8,Sales Executive
49,No,Sales,19689,4,4,24,20,2,Yes,5,Engineer
20,No,R&D,18463,2,1,25,3,4,Yes,6,HR Executive
59,No,R&D,11298,3,2,3,12,2,No,0,HR Executive
24,No,HR,8482,3,4,21,29,2,Yes,8,Manager
52,No,Sales,16203,2,4,39,9,3,Yes,4,Engineer
31,No,Sales,5574,4,4,0,2,2,Yes,8,Engineer
33,No,Sales,17211,1,3,25,23,4,No,5,Engineer
33,No,Sales,4749,1,1,35,25,3,Yes,4,Manager
55,No,HR,5191,2,1,19,13,1,Yes,8,Technician
50,No,R&D,10443,2,2,35,20,2,No,4,HR Executive
34,No,Sales,7862,2,2,39,24,2,Yes,5,Manager
35,Yes,R&D,3714,3,3,37,19,3,No,8,Sales Executive
52,Yes,HR,10876,2,4,10,23,1,Yes,2,Manager
24,No,Sales,18156,2,1,28,2,3,Yes,5,HR Executive
23,No,R&D,14985,2,3,15,15,2,No,9,Engineer
19,Yes,HR,15695,1,3,18,21,3,No,6,Sales Executive
49,Yes,Sales,9191,2,4,23,6,3,Yes,4,Technician
56,No,R&D,19871,4,1,25,11,3,No,6,Sales Executive
57,No,HR,4699,4,4,31,27,3,Yes,1,HR Executive
41,No,Sales,3613,2,2,28,22,4,No,0,Manager
28,Yes,Sales,11458,2,1,0,12,4,Yes,5,Sales Executive
32,No,R&D,16425,1,1,33,23,2,Yes,0,Manager
22,Yes,HR,18258,2,3,17,15,3,No,3,Manager
52,Yes,HR,18640,3,3,39,16,1,Yes,1,Manager
23,No,HR,6115,3,4,32,24,3,No,4,Sales Executive
27,No,Sales,17846,4,3,6,14,4,No,4,Technician
53,Yes,R&D,7202,1,2,31,11,1,No,7,Technician
46,No,R&D,19475,2,4,19,22,4,No,3,Sales Executive
53,No,Sales,2145,2,1,2,17,1,Yes,8,Manager
52,No,HR,4158,3,3,35,20,2,Yes,4,HR Executive
23,Yes,HR,12379,4,3,8,11,4,No,2,Manager
25,No,HR,2623,3,2,16,13,2,Yes,5,HR Executive
58,No,HR,19297,3,2,5,13,2,Yes,0,Manager
29,No,Sales,5666,2,2,34,10,1,No,3,Manager
23,No,HR,6271,4,3,10,25,4,Yes,8,Engineer
26,Yes,HR,9463,1,1,4,5,3,Yes,7,HR Executive
47,No,R&D,4505,1,2,31,3,1,No,7,Technician
27,Yes,R&D,11179,4,4,29,1,3,No,7,Technician
56,No,HR,6510,1,3,28,23,4,Yes,8,Manager
58,No,R&D,9652,4,3,22,14,2,Yes,3,Engineer
32,No,Sales,12637,3,1,26,22,4,No,0,Sales Executive
19,No,HR,14187,4,1,21,24,1,Yes,9,Sales Executive
51,No,Sales,4219,4,1,31,23,3,No,3,Manager
27,Yes,Sales,11756,4,2,27,1,4,No,1,Manager
58,No,HR,8994,1,1,24,6,2,Yes,6,Sales Executive
21,No,R&D,18792,4,3,7,3,4,No,7,Sales Executive
38,No,Sales,8827,3,4,38,1,3,Yes,8,Manager
29,No,Sales,10320,2,2,27,28,3,No,6,Sales Executive
57,No,HR,7404,4,2,38,20,1,Yes,2,Manager
56,No,Sales,4833,2,1,2,24,4,No,7,Engineer
58,No,R&D,10195,2,3,2,29,3,Yes,1,Technician
22,No,HR,11876,1,1,15,13,2,No,1,Sales Executive
44,No,Sales,12916,1,3,35,3,3,Yes,5,HR Executive
47,No,Sales,7860,1,3,2,7,1,No,9,Technician
57,No,Sales,19856,1,3,26,15,1,Yes,6,Manager
39,Yes,R&D,9256,4,3,3,19,1,No,5,HR Executive
52,No,R&D,3592,2,3,39,23,2,No,1,Sales Executive
47,No,HR,19161,1,3,35,28,1,Yes,1,Manager
36,No,HR,12083,2,1,31,8,3,No,0,Engineer
25,No,Sales,16607,3,2,22,4,4,Yes,1,Engineer
26,No,HR,17555,4,4,14,2,2,No,7,Manager
35,No,Sales,12595,1,3,25,12,2,No,8,Sales Executive
26,No,R&D,6856,3,3,15,5,3,No,9,Manager
42,No,R&D,13558,3,4,34,7,3,Yes,2,Technician
28,No,Sales,6885,4,3,21,21,3,No,3,Manager
49,No,Sales,2629,4,2,18,1,4,Yes,6,Manager
51,Yes,Sales,3012,4,2,31,7,2,Yes,2,Sales Executive
25,No,R&D,13124,1,2,9,16,1,Yes,3,HR Executive
30,No,R&D,16586,1,4,25,14,4,No,9,Manager
54,No,Sales,15980,2,2,9,2,3,Yes,5,Manager
27,No,R&D,4468,4,4,35,17,4,Yes,4,Manager
38,Yes,HR,9073,1,2,0,13,2,Yes,0,Sales Executive
18,Yes,Sales,10157,3,1,39,18,4,No,4,Sales Executive
27,No,Sales,18295,2,1,35,27,2,Yes,9,Sales Executive
50,No,HR,10517,1,4,34,5,2,Yes,6,Sales Executive
34,Yes,HR,13058,1,4,30,23,1,No,8,Manager
56,No,R&D,19338,3,1,37,18,1,Yes,0,HR Executive
30,No,HR,17891,2,4,21,13,2,No,4,Technician
18,No,HR,16737,2,3,5,12,2,No,6,Sales Executive
19,No,Sales,12169,3,2,18,13,1,Yes,3,Manager
24,Yes,R&D,3294,2,3,10,10,3,No,7,Manager
23,Yes,HR,12199,4,3,2,7,3,Yes,5,Technician
51,No,Sales,3736,1,2,8,28,1,No,5,Sales Executive
46,Yes,HR,13284,3,2,21,8,2,No,8,Technician
55,No,HR,15791,2,3,17,2,2,No,6,Manager
37,No,HR,8140,1,3,20,21,3,No,3,Sales Executive
18,No,R&D,7807,4,2,39,2,3,No,7,Manager
54,Yes,Sales,16490,2,2,29,25,2,No,0,Sales Executive
59,No,Sales,3045,4,4,6,26,2,Yes,0,HR Executive
33,No,R&D,18953,1,4,12,27,1,No,7,Engineer
29,No,R&D,6779,1,4,36,3,3,Yes,6,HR Executive
46,No,Sales,9241,2,2,22,26,2,No,8,HR Executive
26,No,Sales,4150,3,3,15,25,1,Yes,4,Manager
55,No,HR,17099,3,3,32,18,2,No,1,HR Executive
24,No,R&D,9043,3,4,31,6,1,Yes,6,Engineer
44,No,HR,15896,1,3,14,8,4,Yes,9,HR Executive
26,No,Sales,13822,4,2,37,6,1,No,1,Engineer
40,No,HR,13003,4,4,25,28,4,No,5,Engineer
36,Yes,HR,12397,3,1,24,22,3,No,0,Technician
28,No,HR,17175,1,2,33,11,3,No,0,Manager
27,No,Sales,5090,1,3,39,14,2,No,5,Technician
20,No,HR,4576,4,2,10,5,4,No,8,HR Executive
53,No,HR,7675,4,4,2,6,2,No,4,Engineer
50,Yes,R&D,10083,4,4,31,1,3,Yes,5,Engineer
38,No,R&D,15308,2,1,28,12,1,No,8,Engineer
47,No,R&D,14055,3,4,8,6,3,No,3,Engineer
39,No,Sales,14120,2,3,31,18,3,Yes,8,Engineer
58,No,R&D,13042,4,4,37,19,2,No,3,Manager
58,No,R&D,5826,4,2,8,8,1,Yes,3,Engineer
43,No,HR,2055,1,3,24,8,2,No,2,Technician
48,Yes,Sales,6072,1,3,28,14,2,No,7,HR Executive
21,Yes,HR,16938,1,4,23,23,1,Yes,3,Manager
49,No,R&D,12716,2,2,5,2,1,No,7,Engineer
19,No,HR,16862,1,4,12,20,2,Yes,0,Manager
27,No,R&D,16436,3,3,16,29,2,No,6,Sales Executive
58,No,Sales,2917,3,1,26,13,2,Yes,9,Manager
53,No,Sales,6621,1,3,1,17,3,No,8,Technician
18,No,HR,2539,4,3,8,23,1,No,0,Sales Executive
24,No,R&D,17379,3,1,6,27,1,No,1,Manager
25,No,Sales,9602,3,2,0,5,4,Yes,9,Manager
43,No,HR,10087,1,1,25,10,2,Yes,7,Manager
56,Yes,HR,3262,2,1,38,24,4,Yes,4,HR Executive
59,No,R&D,11174,2,3,21,27,2,Yes,1,Sales Executive
57,No,Sales,11915,3,2,6,28,4,Yes,5,Engineer
50,Yes,HR,7331,3,3,9,25,3,Yes,2,Manager
39,No,Sales,18226,2,4,8,5,1,Yes,8,Sales Executive
30,No,HR,5146,1,2,19,22,4,Yes,3,Sales Executive
24,No,R&D,19816,3,1,12,8,3,Yes,0,Manager
44,No,HR,19336,2,1,38,18,1,Yes,2,Sales Executive
41,No,R&D,19775,1,2,5,2,4,No,3,Technician
30,No,HR,7655,2,3,30,8,2,No,3,Sales Executive
44,Yes,R&D,14399,4,2,30,7,4,No,1,Sales Executive
55,No,R&D,4470,3,2,34,13,4,No,2,Engineer
35,No,HR,2599,3,1,6,23,2,Yes,4,Engineer
34,Yes,Sales,14948,1,2,23,9,2,Yes,3,Technician
29,Yes,HR,14701,3,1,20,21,3,No,6,HR Executive
55,Yes,R&D,11653,1,4,14,29,2,No,1,Sales Executive
25,No,Sales,7690,4,3,10,10,2,No,7,Technician
51,No,HR,7923,2,3,27,27,1,Yes,1,Engineer
53,Yes,HR,13420,2,1,17,5,2,No,2,Sales Executive
34,Yes,R&D,17327,1,4,23,15,2,No,3,HR Executive
57,No,HR,10026,3,2,4,15,4,No,9,Sales Executive
44,Yes,R&D,14120,4,1,9,27,4,No,9,HR Executive
56,No,HR,12142,4,2,23,20,3,No,8,Sales Executive
30,Yes,Sales,19501,1,1,15,17,1,Yes,5,Manager
28,No,R&D,7062,1,3,0,15,1,Yes,7,Manager
30,No,Sales,7416,4,2,4,14,3,No,0,Technician
38,No,R&D,9906,4,3,16,2,3,Yes,4,HR Executive
57,Yes,R&D,19635,3,4,33,15,2,Yes,0,Technician
45,No,Sales,13089,2,3,0,19,2,No,9,HR Executive
20,No,HR,13320,3,4,30,15,4,Yes,7,Technician
28,No,R&D,16355,2,4,4,20,2,Yes,6,Engineer
58,Yes,Sales,6550,1,2,21,3,2,No,9,Manager
35,Yes,R&D,4535,1,1,3,12,4,No,6,Engineer
33,No,HR,17358,2,1,7,26,3,No,8,Manager
46,No,Sales,11453,2,3,25,5,3,No,2,Sales Executive
56,No,Sales,17161,1,2,6,25,2,No,4,Technician
34,No,R&D,18395,4,1,14,3,4,No,9,Sales Executive
26,No,R&D,7762,1,1,28,16,3,Yes,1,Engineer
21,Yes,Sales,16983,3,2,26,15,2,Yes,4,Manager
40,No,R&D,10017,2,3,2,8,1,No,8,HR Executive
21,Yes,HR,2680,3,1,25,16,3,No,8,HR Executive
40,No,R&D,17405,1,4,27,17,1,Yes,8,Sales Executive
46,Yes,Sales,5663,3,4,23,4,1,No,2,HR Executive
25,No,Sales,19197,4,1,32,20,1,Yes,1,Manager
34,Yes,HR,7365,3,1,1,29,3,Yes,2,Manager
34,No,R&D,13157,1,3,18,17,4,Yes,8,Manager
41,No,HR,14741,4,4,19,6,2,No,5,Manager
25,No,Sales,5497,1,3,32,9,2,Yes,5,HR Executive
52,No,HR,4108,2,2,30,20,4,Yes,5,Manager
52,No,HR,6262,3,1,8,25,4,Yes,8,HR Executive
30,No,R&D,15897,1,3,25,4,3,No,3,Technician
20,Yes,R&D,16974,3,3,4,27,2,Yes,4,Sales Executive
26,Yes,Sales,4740,2,1,39,26,4,No,1,Sales Executive
35,Yes,HR,19987,3,3,38,28,2,Yes,3,Sales Executive
59,Yes,HR,5774,2,3,26,13,2,Yes,7,HR Executive
57,No,R&D,14416,2,3,22,27,3,No,4,Engineer
19,No,R&D,4236,1,2,34,21,2,Yes,1,Engineer
